pressure_level,latitude,longitude,valid_time,number,cc,r,crwc,t,u,v
1000.0,13.8,-75.5,2020-12-08,0,0.0,83.49167,1.1971294e-06,26.181345,-7.0216465,-2.9738238
1000.0,13.8,-75.5,2020-12-09,0,,,,,,
1000.0,13.8,-75.5,2020-12-10,0,0.0,77.32439,0.0,26.079414,-8.07896,-3.8867164
1000.0,13.8,-75.5,2020-12-11,0,,,,,,
1000.0,13.8,-75.5,2020-12-12,0,0.0,72.31952,2.5492753e-07,26.348259,-10.852304,-1.6933227
1000.0,13.8,-75.5,2020-12-13,0,,,,,,
1000.0,13.8,-75.5,2020-12-14,0,0.0,82.65486,8.807757e-07,25.85556,-10.809858,-2.2308314
1000.0,13.8,-75.5,2020-12-15,0,,,,,,
1000.0,13.8,-75.5,2020-12-16,0,0.0,76.718124,3.6450135e-07,26.320208,-10.995148,-1.8188529
1000.0,13.8,-75.5,2020-12-17,0,0.0,77.259026,4.708731e-07,26.076082,-10.951394,-4.0751934
1000.0,13.8,-75.5,2020-12-18,0,,,,,,
1000.0,13.8,-75.5,2020-12-19,0,0.0,83.83283,1.2200557e-06,25.56863,-11.566187,-4.511671
1000.0,13.8,-75.5,2020-12-20,0,,,,,,
1000.0,13.8,-75.5,2020-12-21,0,0.0,75.600426,6.9233536e-08,26.316525,-11.206935,-2.4799194
1000.0,13.8,-75.5,2020-12-22,0,,,,,,
1000.0,13.8,-75.5,2020-12-23,0,0.0,75.732475,2.576759e-07,26.221159,-10.662475,-3.55949
1000.0,13.8,-75.5,2020-12-24,0,,,,,,
